GPE,NORP
Abkhazia,Abkhaz
Abkhazia,Abkhazian
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Anguilla,Anguillan
Antigua and Barbuda,Antiguan
Antigua and Barbuda,Barbudan
Argentina,Argentine
Argentina,Argentinian
Armenia,Armenian
Aruba,Aruban
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
Azerbaijan,Azeri
Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Benin,Beninois
Bermuda,Bermudian
Bermuda,Bermudan
Bhutan,Bhutanese
Bolivia,Bolivian
Bonaire,Bonaire
Bonaire,Bonairean
Bosnia and Herzegovina,Bosnian
Bosnia and Herzegovina,Herzegovinian
Botswana,Motswana
Botswana,Botswanan
Botswana,Batswana
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabé
Burkina Faso,Burkinabè
Burma,Burman
Burundi,Burundian
Burundi,Barundi
Cabo Verde,Cabo Verdean
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cayman Islands,Caymanian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Christmas Island,Christmas Islanders
Cocos (Keeling) Islands,Cocos Islanders
Colombia,Colombian
Comoros,Comoran
Comoros,Comorian
Congo,Congolese
Cook Islands,Cook Islanders
Costa Rica,Costa Rican
Croatia,Croatian
Croatia,Croats
Cuba,Cuban
Curaçao,Curaçaoan
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominican Republic,Dominican
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
El Salvador,Salvadorian
El Salvador,Salvadorean
England,English
Equatorial Guinea,Equatorial Guinean
Equatorial Guinea,Equatoguinean
Eritrea,Eritrean
Estonia,Estonian
Eswatini,Swazi
Eswatini,Swati
Ethiopia,Ethiopian
Ethiopia,Habesha
Europe,European
Falkland Islands,Falkland Islander
Faroe Islands,Faroese
Fiji,Fijian
Finland,Finnish
France,French
French Guiana,French Guianese
French Polynesia,French Polynesian
Gabon,Gabonese
Gabon,Gabonaise
Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Gibraltar,Gibraltar
Gibraltar,Gibraltarian
Greece,Greek
Greece,Hellenic
Greenland,Greenlandic
Grenada,Grenadian
Guadeloupe,Guadeloupe
Guadeloupe,Guadeloupian
Guadeloupe,Guadeloupean
Guam,Guamanian
Guatemala,Guatemalan
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Guyana,Guyanese
Haiti,Haitian
Heard Island,Heard Islanders
McDonald Islands,McDonald Islander
Honduras,Honduran
Hong Kong,Hong Konger
Hong Kong,Hongkonger
Hong Kong,Hong Kongese
Hungary,Hungarian
Hungary,Magyar
Iceland,Icelandic
Iceland,Icelander
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iran,Persian
Iraq,Iraqi
Ireland,Irish
Isle of Man,Manx
Israel,Israeli
Israel,Israelite
Italy,Italian
Ivory Coast,Ivorian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakhstani
Kazakhstan,Kazakh
Kenya,Kenyan
Kiribati,Kiribati
Kiribati,I-Kiribati
North Korea,North Korean
South Korea,South Korean
South Korea,Korean
Kosovo,Kosovan
Kosovo,Kosovar
Kuwait,Kuwaiti
Kyrgyzstan,Kyrgyzstani
Kyrgyzstan,Kyrgyz
Kyrgyzstan,Kirgiz
Kyrgyzstan,Kirghiz
Laos,Laotian
Laos,Lao
Latvia,Latvian
Latvia,Lettish
Latvia,Letts
Lebanon,Lebanese
Lesotho,Basotho
Lesotho,Mosotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Luxembourg,Luxembourgers
Macau,Macanese
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,Malian
Mali,Malinese
Malta,Maltese
Marshall Islands,Marshallese
Martinique,Martiniquais
Martinique,Martinican
Martinique,Martiniquaise
Mauritania,Mauritanian
Mauritius,Mauritian
Mayotte,Mahoran
Mexico,Mexican
Micronesia,Micronesian
Moldova,Moldovan
Monaco,Monégasque
Monaco,Monacan
Mongolia,Mongolian
Mongolia,Mongols
Montenegro,Montenegrin
Montserrat,Montserratian
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Myanma
Myanmar,Burmese
Namibia,Namibian
Nauru,Nauruan
Nepal,Nepali
Nepal,Nepalese
Netherlands,Dutch
Netherlands,Netherlandic
Netherlands,Netherlander
New Caledonia,New Caledonian
New Zealand,New Zealand
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Niue,Niuean
Norfolk Island,Norfolk Islander
North Macedonia,Macedonian
Northern Ireland,Northern Irish
Northern Mariana Islands,Northern Marianan
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Palestine,Palestinian
Panama,Panamanian
Papua New Guinea,Papua New Guinean
Papua New Guinea,Papuan
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino
Philippines,Philippine
Philippines,Filipina
Pitcairn Islands,Pitcairn Islanders
Poland,Polish
Poland,Poles
Portugal,Portuguese
Puerto Rico,Puerto Rican
Qatar,Qatari
Réunion,Réunionese
Réunion,Réunionnais
Réunion,Réunionnaise
Romania,Romanian
Russia[m],Russian
Rwanda,Rwandan
Rwanda,Banyarwanda
Saba,Saban
Saint Barthélemy,Barthélemois
Saint Barthélemy,Barthélemoise
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian
Saint Kitts and Nevis,Kittitian
Saint Kitts and Nevis,Nevisian
Saint Lucia,Saint Lucian
Saint Martin,Saint-Martinoise
Saint Pierre and Miquelon,Saint-Pierrais
Saint Pierre and Miquelon,Miquelonnais
Saint Pierre and Miquelon,Saint-Pierraise
Saint Pierre and Miquelon,Miquelonnaise
Saint Vincent and the Grenadines,Saint Vincentian
Saint Vincent and the Grenadines,Vincentian
Samoa,Samoan
San Marino,Sammarinese
Sao Tomé and Principe,Sao Toméan
Saudi Arabia,Saudi
Saudi Arabia,Saudi Arabian
Saudi Arabia,Saudian
Saudi Arabia,Saudia
Scotland,Scottish
Scotland,Scots
Senegal,Senegalese
Serbia,Serbian
Serbia,Serbs
Seychelles,Seychellois
Seychelles,Seychelloise
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Sint Eustatius,Statian
Sint Maarten,Sint Maartener
Slovakia,Slovak
Slovakia,Slovakian
Slovenia,Slovenian
Slovenia,Slovene
Solomon Islands,Solomon Islanders
Somalia,Somali
Somaliland,Somalilander
South Africa,South African
South Georgia Islands,South Georgia Islander
South Sandwich Islands,South Sandwich Islander
South Ossetia,South Ossetian
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Sweden,Swedish
Sweden,Swedes
Switzerland,Swiss
Syrian Arab Republic,Syrian
Taiwan,Taiwanese
Taiwan,Formosan
Tajikistan,Tajikistani
Tajikistan,Tajik
Tanzania,Tanzanian
Thailand,Thai
Timor-Leste,Timorese
Togo,Togolese
Tokelau,Tokelauan
Tonga,Tongan
Trinidad and Tobago,Trinidadian
Trinidad and Tobago,Tobagonian
Tunisia,Tunisian
Turkey,Turkish
Turkey,Turk
Turkmenistan,Turkmen
Turks and Caicos Islands,Turks and Caicos Islanders
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirati
United Arab Emirates,Emirian
United Arab Emirates,Emiri
United Kingdom of Great Britain and Northern Ireland,British
United States of America,American
Uruguay,Uruguayan
Uzbekistan,Uzbekistani
Uzbekistan,Uzbek
Vanuatu,Vanuatuan
Vatican City State,Vatican
Venezuela,Venezuelan
Vietnam,Vietnamese
British Virgin Islands,British Virgin Islanders
United States Virgin Islands,U.S. Virgin Islanders
Wales,Welsh
Wales,Walian
Wallis and Futuna,Wallisian
Wallis and Futuna,Futunan
Wallis and Futuna,Wallis and Futuna Islanders
Western Sahara,Sahrawi
Western Sahara,Sahrawian
Western Sahara,Sahraouian
Yemen,Yemeni
Zambia,Zambian
Zanzibar,Zanzibari
Zimbabwe,Zimbabwean
